//<name><fieldIndex><Execution><parameter>
//Execution -> getMoney, looseMoney, goPrison, getCard, nothing
//parameter -> double Value, community, event, freeMoney, null
//special Felder: Los, Gefängniss, Frei Parken, Gehe ins Gefängniss,
//				  Ereignisfeld, Gemeinschaftsfeld, Zusatzsteuer, Einkommensteuer
//
//Geld, was man bekommt, wenn man auf Los steht!!!
Los,0,getMoney,8000
Gemeinschaftsfeld,2,getCard,community
Einkommensteuer,4,looseMoney,4000
Ereignisfeld,7,getCard,event
Nur zu Besuch | Gefängniss,10,nothing,null
Gemeinschaftsfeld,17,getCard,community
Frei Parken,20,getMoney,freeMoney
Ereignisfeld,22,getCard,event
Gehen Sie in das Gefängins,30,goPrison,null
Gemeinschaftsfeld,33,getCard,community
Ereignisfeld,36,getCard,event
Zusatzsteuer,38,looseMoney,2000
