//<name><price><rent><houseprice><multiplier><hypotek><fieldindex><color>
Badstraße,1200,100,1000,1.5,1200,1,128,51,153
Turmstraße,1200,100,1000,1.5,1200,3,128,51,153
Chausseestraße,2000,150,2000,1.5,1500,6,128,204,255
Elisenstraße,2000,150,2000,1.5,1500,8,128,204,255
Poststraße,2400,150,2000,1.5,1500,9,128,204,255
Seestraße,2800,200,2500,1.5,2000,11,204,68,204
Hafenstraße,2800,200,2500,1.5,2000,13,204,68,204
Neue Straße,3200,200,2500,1.5,2000,14,204,68,204
Münchener Straße,3600,250,3000,1.5,2500,16,255,128,0
Wiener Straße,3000,250,3000,1.5,2500,18,255,128,0
Berliner Straße,4000,250,3000,1.5,2500,19,255,128,0
Theaterstraße,4000,300,3000,1.5,3000,21,255,0,0
Museumsstraße,4400,300,3000,1.5,3000,23,255,0,0
Opernplatz,4800,300,3000,1.5,3000,24,255,0,0
Lessingstraße,5200,400,4000,1.5,3000,26,255,255,0
Schillerstraße,5200,400,4000,1.5,3000,27,255,255,0
Goethestraße,5600,400,4000,1.5,3000,29,255,255,0
Rathausplatz,6000,500,4000,1.5,3500,31,51,128,51
Hauptstraße,6000,500,4000,1.5,3500,32,51,128,51
Bahnhofstraße,6400,500,4000,1.5,3500,34,51,128,51
Parkstraße,7000,700,4500,2,5000,37,32,32,204
Schlossallee,8000,1000,4500,2,6000,39,32,32,204
